name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
crate2nix,,https://github.com/nix-community/crate2nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,nix build file generator for rust crates,,,,,,,,,,,,Builders,Rust,,,,,,,,,,,,,,,,,,,,,,,,
crystal2nix,,https://github.com/nix-community/crystal2nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Build crystal projects using nix.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
deploy-rs,,https://github.com/serokell/deploy-rs,logos/fa0d2dd7acd4e482e0adcfaf1a2fde796aff0ed2443e94f9d13da7af96dbf7f5.svg,,,,,,,,,A simple multi-profile Nix-flake deploy tool.,,,,,,,,,,,,Infrastructure,Deployment Tools,,,,,,,,,,,,,,,,,,,,,,,,
dev.nix,,https://nix.dev/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,official,,,,Home of official documentation for the Nix ecosystem.,,,,,,,,,,,,Documentation,Tutorials,,,,,,,,,,,,,,,,,,,,,,,,
devbox,,https://www.jetpack.io/devbox/,logos/757cef5127835eec837f6208d43d9cd9969d01444184f0ba9dbc5ec18b7d8e42.svg,,,,,community,,,,"Instant, easy, and predictable development environments",,,,,,,,,,,,Builders,Any,,,,,,,,,,,,,,,,,,,,,,,,
devenv,,https://devenv.sh/,logos/ec38f88aa2bef9224b7dfd5f092d2269f6d2a0919ede698a2cd60283a21b297b.svg,,,,,community,,,,"Fast, Declarative, Reproducible, and Composable Developer Environments.",,,,,,,,,,,,Builders,Any,,,,,,,,,,,,,,,,,,,,,,,,
devshell,,https://numtide.github.io/devshell/,logos/1e9835937ad8dd0a23988d0ea9febd6e0ccd6c1e184c47398b886047db9c9c1c.svg,,,,,community,,,,Per project developer environments,,,,,,,,,,,,Builders,Any,,,,,,,,,,,,,,,,,,,,,,,,
disko,,https://github.com/nix-community/disko,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Format disks with nix-config,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
docker-nixpkgs,,https://github.com/nix-community/docker-nixpkgs,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,docker images from nixpkgs,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
docnix,,https://nix-community.github.io/docnix/,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,nix-community reference documentation,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
dream2nix,,https://github.com/nix-community/dream2nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Simplified nix packaging for various programming language ecosystems,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
dreampkgs,,https://github.com/nix-community/dreampkgs,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,A collection of software packages managed with dream2nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
eask2nix,,https://github.com/nix-community/eask2nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Convert Eask into Nix expressions,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
emacs-overlay,,https://github.com/nix-community/emacs-overlay,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Bleeding edge emacs overlay,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
emacs2nix,,https://github.com/nix-community/emacs2nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Automatically generate Nix expressions for Emacs packages,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
ethereum.nix,,https://github.com/nix-community/ethereum.nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Nixpkgs for the Ethereum ecosystem.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
Flake Schemas,,https://github.com/DeterminateSystems/flake-schemas,logos/80da512e87e21cdd766917def98cf5e6cd50826beb584505c4bb42bbd79778b2.svg,,,,,community,,,,Extensible Flake outputs for decentralized Flake output discovery.,,,,,,,,,,,,Flakes,Libraries,,,,,,,,,,,,,,,,,,,,,,,,
flake-parts,,https://flake.parts/,logos/d5a16a0ee58e258f815b6c8629af02b84eef392c94c5283cf1ced2a58845c108.svg,,,,,community,,,,Simplify Nix Flakes with the module system,,,,,,,,,,,,Flakes,Libraries,,,,,,,,,,,,,,,,,,,,,,,,
flake-utils,,https://github.com/numtide/flake-utils,logos/1e9835937ad8dd0a23988d0ea9febd6e0ccd6c1e184c47398b886047db9c9c1c.svg,,,,,community,,,,Pure Nix flake utility functions,,,,,,,,,,,,Flakes,Libraries,,,,,,,,,,,,,,,,,,,,,,,,
FlakeHub,,https://flakehub.com,logos/80da512e87e21cdd766917def98cf5e6cd50826beb584505c4bb42bbd79778b2.svg,,https://www.crunchbase.com/organization/determinate-systems,,,commercial,,,,Predictable and safe flake updates,,,,,,,,,,,,Flakes,Flake Versioning,,,,,,,,,,,,,,,,,,,,,,,,
Flakelight,,https://github.com/nix-community/flakelight,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,community,,,,Framework for simplifying flake setup,,,,,,,,,,,,Flakes,Libraries,,,,,,,,,,,,,,,,,,,,,,,,
Flakestry,,https://flakestry.dev,logos/d2da699737b6e866125a8f321ec345e684d69ce2b1e2da74d9796ae6cad4066a.svg,,,,,community,,,,A public central registry of Nix flakes.,,,,,,,,,,,,Flakes,Flake Versioning,,,,,,,,,,,,,,,,,,,,,,,,
fleek,,https://getfleek.dev/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,All-in-one management system for everything you need to be productive on your computer.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
flox,,https://flox.dev,logos/4a3277fe0e8881d7733a29814a063e82eb39e525e914b76171066c4a1dfaadb5.svg,,,,,commercial,,,,Harness the power of Nix,,,,,,,,,,,,Builders,Any,,,,,,,,,,,,,,,,,,,,,,,,
