name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
nix-npm-buildpackage,,https://github.com/serokell/nix-community/nix-npm-buildpackage,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Build nix packages that use npm/yarn,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-on-droid,,https://github.com/nix-community/nix-on-droid,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Nix-enabled environment for your Android device.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-packages-history,,https://history.nix-packages.com/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Nix old package search,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-remote-rust,,https://github.com/tweag/nix-remote-rust,logos/56acbc652a317c09f5ffa03211f3895462c4f39452548bb99a2d9819582f0fad.svg,,,,,,,,,Re-implementation of Nix remote build protocol,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-snapshotter,,https://github.com/pdtpartners/nix-snapshotter,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Brings native understanding of Nix packages to containerd,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-software-center,,https://github.com/vlinkz/nix-software-center,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,A simple gtk4/libadwaita software center to easily install and manage nix packages,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-straight.el,,https://github.com/nix-community/nix-straight.el,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Nix integration to straight.el,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-templates,,https://github.com/serokell/nix-templates,logos/fa0d2dd7acd4e482e0adcfaf1a2fde796aff0ed2443e94f9d13da7af96dbf7f5.svg,,,,,,,,,Nix Flake templates for various languages,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-unit,,https://github.com/nix-community/nix-unit,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Unit testing for Nix code,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-user-chroot,,https://github.com/nix-community/nix-user-chroot,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Install & Run nix without root permissions,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-version-search-cli,,https://github.com/jeff-hykin/nix_version_search_cli,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,A CLI tool for finding/using versions of nix packages,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-versions,,https://lazamar.co.uk/nix-versions/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Find all versions of a package that were available in a channel and the revision you can download it from.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-vscode-extensions,,https://github.com/nix-community/nix-vscode-extensions,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Nix expressions for VSCode and OpenVSX extensions,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix2containers,,https://github.com/nlewo/nix2container,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,An archive-less dockerTools.buildImage implementation,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix4vscode,,https://github.com/nix-community/nix4vscode,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,generate nix expression from config.toml,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix_bazel_codelab,,https://github.com/tweag/nix_bazel_codelab,logos/56acbc652a317c09f5ffa03211f3895462c4f39452548bb99a2d9819582f0fad.svg,,,,,,,,,Nix+Bazel Codelab,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixago,,https://github.com/nix-community/nixago,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Generate configuration files using Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixbox,,https://github.com/nix-community/nixbox,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,NixOS Vagrant boxes,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixbuild.net,,https://nixbuild.net,logos/f6c1684e7cc184276d30c78662e44802e06c662166b2d0866872cb1e3bc3fee5.svg,,,,,commercial,,,,"Fast, secure and scalable Nix builds as a service.",,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
NixCon,,https://www.youtube.com/@NixCon,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,community,,,,Nix Conference Videos,,,,,,,,,,,,Documentation,Videos,,,,,,,,,,,,,,,,,,,,,,,,
nixd,,https://github.com/nix-community/nixd,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,"Nix language server, based on nix libraries",,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixdoc,,https://github.com/nix-community/nixdoc,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Tool to generate documentation for Nix library functions,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixery,,https://nixery.dev,logos/787ca928435b31c758b54d576bbe352ddf0d640ee2e17ae2a1f7006a6f1821bd.svg,,,,,,,,,An ad-hoc container image registry that provides packages from the Nix package manager.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixfmt,,https://github.com/serokell/nixfmt,logos/fa0d2dd7acd4e482e0adcfaf1a2fde796aff0ed2443e94f9d13da7af96dbf7f5.svg,,,,,,,,,A formatter for Nix code,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixGL,,https://github.com/nix-community/nixGL,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,A wrapper tool for nix OpenGL application,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixhub.io,,https://nixhub.io,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Search historical versions of nix packages,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixionary.org,,http://nixionary.org/,logos/1e9835937ad8dd0a23988d0ea9febd6e0ccd6c1e184c47398b886047db9c9c1c.svg,,,,,,,,,Nix dictionary,,,,,,,,,,,,Documentation,Books,,,,,,,,,,,,,,,,,,,,,,,,
NixLang Wiki,,https://nixlang.wiki,logos/25af66883bd67e1e2ceb9e5a266478502c1db55b93f32485c9749535dd68b555.svg,,,,,community,,,,"An unofficial, maintained wiki for NixOS.",,,,,,,,,,,,Documentation,Wikis,,,,,,,,,,,,,,,,,,,,,,,,
NixNG,,https://github.com/nix-community/NixNG,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,A linux distribution based on Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
NixOps,,https://nixos.org/nixops,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,NixOps is a tool for deploying to NixOS machines in a network or cloud.,,,,,,,,,,,,Infrastructure,CI / CD,,,,,,,,,,,,,,,,,,,,,,,,
NixOS,,https://nixos.org,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,official,,,,Nix based Linux Distribution,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
NixOS Foundation,,https://www.youtube.com/@NixOS-Foundation,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,official,,,,NixOS Foundation channel,,,,,,,,,,,,Documentation,Videos,,,,,,,,,,,,,,,,,,,,,,,,
NixOS Manual,,https://nixos.org/manual/nixos/stable/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,official,,,,NixOS Manual.,,,,,,,,,,,,Documentation,Books,,,,,,,,,,,,,,,,,,,,,,,,
nixos-anywhere,,https://github.com/nix-community/nixos-anywhere,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,install nixos everywhere via ssh,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixos-config-editor,,https://github.com/vlinkz/nixos-conf-editor,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,A libadwaita/gtk4 app for editing NixOS configurations,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixos-generators,,https://github.com/nix-community/nixos-generators,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Collection of image builders,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixos-install-scripts,,https://github.com/nix-community/nixos-install-scripts,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,scripts to install NixOS on various server,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixos-raspberrypi-router,,https://github.com/pinpox/nixos-raspberrypi-router,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,NixOS Router build on the Raspberry Pi,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixos-search,,https://search.nixos.org,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,official,,,,"NixPkgs, NixOS Options and Flakes search tool.",,,,,,,,,,,,Documentation,Index,,,,,,,,,,,,,,,,,,,,,,,,
NixOS-WSL,,https://github.com/nix-community/NixOS-WSL,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,NixOS on WSL,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixos.wiki,,https://nixos.wiki,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,unnofficial wiki,,,,,,,,,,,,Documentation,Wikis,,,,,,,,,,,,,,,,,,,,,,,,
nixpkgs,,https://github.com/nixos/nixpkgs,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,official,,,,Nix Packages collection & NixOS,,,,,,,,,,,,Infrastructure,Repositories,,,,,,,,,,,,,,,,,,,,,,,,
NixPkgs Manual,,https://nixos.org/manual/nixpkgs/stable/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,official,,,,NixPkgs Manual.,,,,,,,,,,,,Documentation,Books,,,,,,,,,,,,,,,,,,,,,,,,
nixpkgs-graph,,https://github.com/tweag/nixpkgs-graph,logos/56acbc652a317c09f5ffa03211f3895462c4f39452548bb99a2d9819582f0fad.svg,,,,,,,,,Generate a graph from nixpkgs,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixpkgs-graph-explorer,,https://github.com/tweag/nixpkgs-graph-explorer,logos/56acbc652a317c09f5ffa03211f3895462c4f39452548bb99a2d9819582f0fad.svg,,,,,,,,,Explore the nixpkgs dependency graph,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixpkgs-lint,,https://github.com/nix-community/nixpkgs-lint,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,A fast semantic linter for Nix using tree-sitter,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixpkgs-review,,https://github.com/Mic92/nixpkgs-review,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,community,,,,Review pull-requests on nixpkgs.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixpkgs-terraform-providers-bin,,https://github.com/nix-community/nixpkgs-terraform-providers-bin,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Auto-updating terraform providers for nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixpkgs-unfree,,https://github.com/numtide/nixpkgs-unfree,logos/1e9835937ad8dd0a23988d0ea9febd6e0ccd6c1e184c47398b886047db9c9c1c.svg,,,,,community,,,,nixpkgs with the unfree bits enabled,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixpkgs.lib,,https://github.com/nix-community/nixpkgs.lib,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,nixpkgs lib for cheap instantiation,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixt,,https://github.com/nix-community/nixt,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Simple unit-testing for Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixtract,,https://github.com/tweag/nixtract,logos/56acbc652a317c09f5ffa03211f3895462c4f39452548bb99a2d9819582f0fad.svg,,,,,,,,,A CLI tool to extract the graph of derivations from a Nix flake.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nixvim,,https://github.com/nix-community/nixvim,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Configure Neovim with Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
noogle,,https://noogle.dev,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,nix function exploring,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nosys,,https:/github.com/divnix/nosys,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Nix flakes with systems à la carte.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
npnlock2nix,,https://github.com/nix-community/npnlock2nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,nixify npm based packages,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
NUR,,https://github.com/nix-community/nur,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Nix User Repository,,,,,,,,,,,,Infrastructure,Repositories,,,,,,,,,,,,,,,,,,,,,,,,
nur-search,,https://github.com/nix-community/nur-search,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,NUR package search,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nur-serve,,https://github.com/edolstra/nix-serve,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,A standalone Nix binary cache server,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nurl,,https://github.com/nix-community/nurl,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Nix fetcher calls from repository URLs,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
opam-nix,,https://github.com/tweag/opam-nix,logos/56acbc652a317c09f5ffa03211f3895462c4f39452548bb99a2d9819582f0fad.svg,,,,,,,,,Turn opam-based OCaml projects into Nix derivations,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
patsh,,https://github.com/nix-community/patsh,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,A command-line tool for patching shell scripts inspired by resholve,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
pip2nix,,https://github.com/nix-community/pip2nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Freeze pip-installable packages into Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
pnpm2nix,,https://github.com/nix-community/pnpm2nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Load pnpm lock files into nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
poetry2nix,,https://github.com/nix-community/poetry2nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Convert poetry projects to nix automagically,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
purenix,,https://hackage.haskell.org/package/purenix,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Transpile PureScript code to Nix.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
pynixutil,,https://github.com/nix-community/pynixutil,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Utility functions for working with data from Nix in Python,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
pyproject.nix,,https://github.com/nix-community/pyproject.nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Nix utilities to work with Python projects,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
queued-build-hook,,https://github.com/nix-community/queued-build-hook,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Queue and retry Nix post-build-hook,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
replit,,https://replit.com/,logos/c71ec0643b7390ade8a65b90272803e3676d058f3f95a425150f157f476adf85.svg,,,,,commercial,,,,"Build software collaboratively with the power of AI, on any device, without spending a second on setup.",,,,,,,,,,,,Builders,Any,,,,,,,,,,,,,,,,,,,,,,,,
RIME,,https://rime.cx,logos/c36d6315063c13ace4233485a7d011b49cb8626defc1baa0de7d76b67efd4d14.svg,,,,,community,,,,Nix Flake Input Versioning,,,,,,,,,,,,Flakes,Flake Versioning,,,,,,,,,,,,,,,,,,,,,,,,
rnix-parser,,https://github.com/nix-community/rnix-parser,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,A Nix parser written in Rust,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
robotinix,,https://github.com/nix-community/robotinix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Build Android (AOSP) using Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
rules_nixpkgs,,https://github.com/tweag/rules_nixpkgs,logos/56acbc652a317c09f5ffa03211f3895462c4f39452548bb99a2d9819582f0fad.svg,,,,,,,,,Rules for importing Nixpkgs packages into Bazel.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
runix,,https://github.com/timbertson/runix,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Run nix software without installing nix!,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
semnix,,https://github.com/semnix/semnix,logos/5d4653b7c0aea29e30ba15c49287af6489c0dcd8b40907335518855bfca44f5e.svg,,,,,,,,,Monorepo for Semantically Versioned Releases of Crucial Nix Dependencies,,,,,,,,,,,,Infrastructure,Repositories,,,,,,,,,,,,,,,,,,,,,,,,
Snowfall Flake,,https://github.com/snowfallorg/flake,logos/a24e3bc9b0622540253894cddcd6a51604a24974eeb2778b786b8db69772b409.svg,,,,,community,,,,Simplify Nix Flakes on the command line.,,,,,,,,,,,,Flakes,CLI,,,,,,,,,,,,,,,,,,,,,,,,
Snowfall Lib,,https://github.com/snowfallorg/lib,logos/a24e3bc9b0622540253894cddcd6a51604a24974eeb2778b786b8db69772b409.svg,,,,,community,,,,"Unified configuration for systems, packages, modules, shells, templates, and more with Nix Flakes.",,,,,,,,,,,,Flakes,Libraries,,,,,,,,,,,,,,,,,,,,,,,,
SnowflakeOS,,https://snowflakeos.org/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,SnowflakeOS is a NixOS based Linux distribution focused on beginner friendliness and ease of use.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum,,https://spectrum-os.org/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Spectrum is a Linux-based system that uses the Nix package manager,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
srvos,,https://github.com/nix-community/srvos,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,NixOS profiles for servers,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
std,,https://github.com/divnix/std,logos/2df7e53d237e25807bea08d9da6870a9691b2d093934b5ba9129ff8f53557d23.svg,,,,,,,,,A DevOps framework for the SDLC with the power of Nix and Flakes.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
steam-fetcher,,https://github.com/nix-community/steam-fetcher,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,A Nix fetcher for Steam apps,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
styx,,https://styx-static.github.io/styx-site/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Static site generator in Nix expression language.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
system-manager,,https://github.com/numtide/system-manager,logos/1e9835937ad8dd0a23988d0ea9febd6e0ccd6c1e184c47398b886047db9c9c1c.svg,,,,,,,,,Manage system config using nix on any distro,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
systemd-vaultd,,https://github.com/numtide/systemd-vaultd,logos/1e9835937ad8dd0a23988d0ea9febd6e0ccd6c1e184c47398b886047db9c9c1c.svg,,,,,,,,,Provide access to vault secrets to systemd services,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
templates,,https://github.com/NixOS/templates,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,official,,,,Flake templates,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
templates nix-community,,https://github.com/nix-community/templates,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Nix flake templates managed by the community,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
terranix,,https://terranix.org/,logos/4e443a98db7a42bf878fb0da025d014c29b7b628601d3af79d80b20600199e2e.svg,,,,,,,,,A NixOS way to create terraform json files.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
Thaw,,https://github.com/snowfallorg/thaw,logos/a24e3bc9b0622540253894cddcd6a51604a24974eeb2778b786b8db69772b409.svg,,,,,community,,,,Semantic Versioning for Nix Flakes,,,,,,,,,,,,Flakes,Flake Versioning,,,,,,,,,,,,,,,,,,,,,,,,
The Determinate Nix Installer Action,,https://install.determinate.systems,logos/80da512e87e21cdd766917def98cf5e6cd50826beb584505c4bb42bbd79778b2.svg,,,,,,,,,"Based on the Determinate Nix Installer, responsible for over tens of thousands of Nix installs daily. The fast, friendly, and reliable GitHub Action to install Nix with Flakes.",,,,,,,,,,,,Infrastructure,CI / CD,,,,,,,,,,,,,,,,,,,,,,,,
tree-sitter-nix,,https://github.com/nix-community/tree-sitter-nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Nix grammar for tree-sitter,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
treefmt-nix,,https://github.com/numtide/treefmt-nix,logos/1e9835937ad8dd0a23988d0ea9febd6e0ccd6c1e184c47398b886047db9c9c1c.svg,,,,,,,,,treefmt nix configuration,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
trustix,,https://github.com/nix-community/trustix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Distributed trust and reproducibility tracking for binary caches,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
update-daemon,,https://github.com/serokell/update-daemon,logos/fa0d2dd7acd4e482e0adcfaf1a2fde796aff0ed2443e94f9d13da7af96dbf7f5.svg,,,,,,,,,Nix Flake Update daemon,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
update-flake-lock,,https://github.com/DeterminateSystems/update-flake-lock,logos/80da512e87e21cdd766917def98cf5e6cd50826beb584505c4bb42bbd79778b2.svg,,,,,community,,,,Automatically refresh your Nix flake dependencies.,,,,,,,,,,,,Infrastructure,Security,,,,,,,,,,,,,,,,,,,,,,,,
